Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Purrloin,114/182,Regular,,Confirmed,,,
,Purrloin,114/182,Reverse holo,,Confirmed,,,
,Liepard,115/182,Regular,,Confirmed,,,
,Liepard,115/182,Reverse holo,,Confirmed,,,
,Trubbish,116/182,Regular,,Confirmed,,,
,Trubbish,116/182,Reverse holo,,Confirmed,,,
,Garbodor,117/182,Regular,,Confirmed,,,
,Garbodor,117/182,Reverse holo,,Confirmed,,,
,Yveltal,118/182,Regular,,Confirmed,,,
,Yveltal,118/182,Reverse holo,,Confirmed,,,
,Nickit,119/182,Regular,,Confirmed,,,
,Nickit,119/182,Reverse holo,,Confirmed,,,
,Thievul,120/182,Regular,,Confirmed,,,
,Thievul,120/182,Reverse holo,,Confirmed,,,
,Morpeko,121/182,Regular,,Confirmed,,,
,Morpeko,121/182,Reverse holo,,Confirmed,,,
,Lokix,122/182,Regular,,Confirmed,,,
,Lokix,122/182,Reverse holo,,Confirmed,,,
,Brute Bonnet,123/182,Regular,,Confirmed,,,
,Brute Bonnet,123/182,Reverse holo,,Confirmed,,,
,Roaring Moon ex,124/182,Regular,,Confirmed,,,
,Steelix,125/182,Regular,,Confirmed,,,
,Steelix,125/182,Reverse holo,,Confirmed,,,
,Jirachi,126/182,Regular,,Confirmed,,,
,Jirachi,126/182,Reverse holo,,Confirmed,,,
,Ferroseed,127/182,Regular,,Confirmed,,,
,Ferroseed,127/182,Reverse holo,,Confirmed,,,
,Ferrothorn,128/182,Regular,,Confirmed,,,
,Ferrothorn,128/182,Reverse holo,,Confirmed,,,
,Durant,129/182,Regular,,Confirmed,,,
,Durant,129/182,Reverse holo,,Confirmed,,,
,Honedge,130/182,Regular,,Confirmed,,,
,Honedge,130/182,Reverse holo,,Confirmed,,,
,Honedge,131/182,Regular,,Confirmed,,,
,Honedge,131/182,Reverse holo,,Confirmed,,,
,Doublade,132/182,Regular,,Confirmed,,,
,Doublade,132/182,Reverse holo,,Confirmed,,,
,Doublade,133/182,Regular,,Confirmed,,,
,Doublade,133/182,Reverse holo,,Confirmed,,,
,Aegislash,134/182,Regular,,Confirmed,,,
,Aegislash,134/182,Reverse holo,,Confirmed,,,
,Aegislash ex,135/182,Regular,,Confirmed,,,
,Zacian,136/182,Regular,,Confirmed,,,
,Zacian,136/182,Reverse holo,,Confirmed,,,
,Skeledirge ex,137/182,Regular,,Confirmed,,,
,Orthworm,138/182,Regular,,Confirmed,,,
,Orthworm,138/182,Reverse holo,,Confirmed,,,
,Gholdengo ex,139/182,Regular,,Confirmed,,,
,Altaria ex,140/182,Regular,,Confirmed,,,
,Tatsugiri,141/182,Regular,,Confirmed,,,
,Tatsugiri,141/182,Reverse holo,,Confirmed,,,
,Porygon,142/182,Regular,,Confirmed,,,
,Porygon,142/182,Reverse holo,,Confirmed,,,
,Porygon2,143/182,Regular,,Confirmed,,,
,Porygon2,143/182,Reverse holo,,Confirmed,,,
,Porygon-Z,144/182,Regular,,Confirmed,,,
,Porygon-Z,144/182,Reverse holo,,Confirmed,,,
,Aipom,145/182,Regular,,Confirmed,,,
,Aipom,145/182,Reverse holo,,Confirmed,,,
,Ambipom,146/182,Regular,,Confirmed,,,
,Ambipom,146/182,Reverse holo,,Confirmed,,,
,Miltank,147/182,Regular,,Confirmed,,,
,Miltank,147/182,Reverse holo,,Confirmed,,,
,Whismur,148/182,Regular,,Confirmed,,,
,Whismur,148/182,Reverse holo,,Confirmed,,,
,Loudred,149/182,Regular,,Confirmed,,,
,Loudred,149/182,Reverse holo,,Confirmed,,,
,Exploud,150/182,Regular,,Confirmed,,,
,Exploud,150/182,Reverse holo,,Confirmed,,,
,Spinda,151/182,Regular,,Confirmed,,,
,Spinda,151/182,Reverse holo,,Confirmed,,,
