Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Professor's Research,189/198,Reverse holo,,Confirmed,,,
,Professor's Research,190/198,Regular,,Confirmed,,,
,Professor's Research,190/198,Reverse holo,,Confirmed,,,
,Rare Candy,191/198,Regular,,Confirmed,,,
,Rare Candy,191/198,Reverse holo,,Confirmed,,,
,Rock Chestplate,192/198,Regular,,Confirmed,,,
,Rock Chestplate,192/198,Reverse holo,,Confirmed,,,
,Rocky Helmet,193/198,Regular,,Confirmed,,,
,Rocky Helmet,193/198,Reverse holo,,Confirmed,,,
,Switch,194/198,Regular,,Confirmed,,,
,Switch,194/198,Reverse holo,,Confirmed,,,
,Team Star Grunt,195/198,Regular,,Confirmed,,,
,Team Star Grunt,195/198,Reverse holo,,Confirmed,,,
,Ultra Ball,196/198,Regular,,Confirmed,,,
,Ultra Ball,196/198,Reverse holo,,Confirmed,,,
,Vitality Band,197/198,Regular,,Confirmed,,,
,Vitality Band,197/198,Reverse holo,,Confirmed,,,
,Youngster,198/198,Regular,,Confirmed,,,
,Youngster,198/198,Reverse holo,,Confirmed,,,
,Tarountula,199/198,Regular,,Confirmed,,,
,Dolliv,200/198,Regular,,Confirmed,,,
,Toedscool,201/198,Regular,,Confirmed,,,
,Scovillain,202/198,Regular,,Confirmed,,,
,Armarouge,203/198,Regular,,Confirmed,,,
,Slowpoke,204/198,Regular,,Confirmed,,,
,Clauncher,205/198,Regular,,Confirmed,,,
,Wiglett,206/198,Regular,,Confirmed,,,
,Dondozo,207/198,Regular,,Confirmed,,,
,Pachirisu,208/198,Regular,,Confirmed,,,
,Pawmot,209/198,Regular,,Confirmed,,,
,Drowzee,210/198,Regular,,Confirmed,,,
,Ralts,211/198,Regular,,Confirmed,,,
,Kirlia,212/198,Regular,,Confirmed,,,
,Fidough,213/198,Regular,,Confirmed,,,
,Greavard,214/198,Regular,,Confirmed,,,
,Riolu,215/198,Regular,,Confirmed,,,
,Sandile,216/198,Regular,,Confirmed,,,
,Klawf,217/198,Regular,,Confirmed,,,
,Mabosstiff,218/198,Regular,,Confirmed,,,
,Bombirdier,219/198,Regular,,Confirmed,,,
,Kingambit,220/198,Regular,,Confirmed,,,
,Starly,221/198,Regular,,Confirmed,,,
,Skwovet,222/198,Regular,,Confirmed,,,
,Spidops ex,223/198,Regular,Ultra Rare (full art),Confirmed,,,
,Arcanine ex,224/198,Regular,Ultra Rare (full art),Confirmed,,,
,Gyarados ex,225/198,Regular,Ultra Rare (full art),Confirmed,,,
,Magnezone ex,226/198,Regular,Ultra Rare (full art),Confirmed,,,
,Miraidon ex,227/198,Regular,Ultra Rare (full art),Confirmed,,,
,Gardevoir ex,228/198,Regular,Ultra Rare (full art),Confirmed,,,
,Banette ex,229/198,Regular,Ultra Rare (full art),Confirmed,,,
,Great Tusk ex,230/198,Regular,Ultra Rare (full art),Confirmed,,,
,Koraidon ex,231/198,Regular,Ultra Rare (full art),Confirmed,,,
,Toxicroak ex,232/198,Regular,Ultra Rare (full art),Confirmed,,,
,Iron Treads ex,233/198,Regular,Ultra Rare (full art),Confirmed,,,
,Oinkologne ex,234/198,Regular,Ultra Rare (full art),Confirmed,,,
,Arven,235/198,Regular,Ultra Rare (full art),Confirmed,,,
,Jacq,236/198,Regular,Ultra Rare (full art),Confirmed,,,
,Katy,237/198,Regular,Ultra Rare (full art),Confirmed,,,
,Miriam,238/198,Regular,Ultra Rare (full art),Confirmed,,,
,Penny,239/198,Regular,Ultra Rare (full art),Confirmed,,,
,Professor's Research,240/198,Regular,Ultra Rare (full art),Confirmed,,,
,Professor's Research,241/198,Regular,Ultra Rare (full art),Confirmed,,,
,Team Star Grunt,242/198,Regular,Ultra Rare (full art),Confirmed,,,
,Spidops ex,243/198,Regular,,Confirmed,,,
,Miraidon ex,244/198,Regular,,Confirmed,,,
,Gardevoir ex,245/198,Regular,,Confirmed,,,
,Great Tusk ex,246/198,Regular,,Confirmed,,,
,Koraidon ex,247/198,Regular,,Confirmed,,,
