Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Appletun,140/191,Reverse holo,,Confirmed,,0,
,Eternatus,141/191,Regular,,Confirmed,,0,
,Eternatus,141/191,Reverse holo,,Confirmed,,0,
,Tatsugiri ex,142/191,Regular,,Confirmed,,0,
,Eevee,143/191,Regular,,Confirmed,,0,
,Eevee,143/191,Reverse holo,,Confirmed,,0,
,Snorlax,144/191,Regular,,Confirmed,,0,
,Snorlax,144/191,Reverse holo,,Confirmed,,0,
,Slakoth,145/191,Regular,,Confirmed,,0,
,Slakoth,145/191,Reverse holo,,Confirmed,,0,
,Vigoroth,146/191,Regular,,Confirmed,,0,
,Vigoroth,146/191,Reverse holo,,Confirmed,,0,
,Slaking ex,147/191,Regular,,Confirmed,,0,
,Swablu,148/191,Regular,,Confirmed,,0,
,Swablu,148/191,Reverse holo,,Confirmed,,0,
,Zangoose,149/191,Regular,,Confirmed,,0,
,Zangoose,149/191,Reverse holo,,Confirmed,,0,
,Kecleon,150/191,Regular,,Confirmed,,0,
,Kecleon,150/191,Reverse holo,,Confirmed,,0,
,Bouffalant,151/191,Regular,,Confirmed,,0,
,Bouffalant,151/191,Reverse holo,,Confirmed,,0,
,Rufflet,152/191,Regular,,Confirmed,,0,
,Rufflet,152/191,Reverse holo,,Confirmed,,0,
,Braviary,153/191,Regular,,Confirmed,,0,
,Braviary,153/191,Reverse holo,,Confirmed,,0,
,Helioptile,154/191,Regular,,Confirmed,,0,
,Helioptile,154/191,Reverse holo,,Confirmed,,0,
,Heliolisk,155/191,Regular,,Confirmed,,0,
,Heliolisk,155/191,Reverse holo,,Confirmed,,0,
,Oranguru,156/191,Regular,,Confirmed,,0,
,Oranguru,156/191,Reverse holo,,Confirmed,,0,
,Tandemaus,157/191,Regular,,Confirmed,,0,
,Tandemaus,157/191,Reverse holo,,Confirmed,,0,
,Maushold,158/191,Regular,,Confirmed,,0,
,Maushold,158/191,Reverse holo,,Confirmed,,0,
,Cyclizar ex,159/191,Regular,,Confirmed,,0,
,Flamigo ex,160/191,Regular,,Confirmed,,0,
,Terapagos,161/191,Regular,,Confirmed,,0,
,Terapagos,161/191,Reverse holo,,Confirmed,,0,
,Amulet of Hope,162/191,Regular,,Confirmed,,0,
,Babiri Berry,163/191,Regular,,Confirmed,,0,
,Babiri Berry,163/191,Reverse holo,,Confirmed,,0,
,Brilliant Blender,164/191,Regular,,Confirmed,,0,
,Call Bell,165/191,Regular,,Confirmed,,0,
,Call Bell,165/191,Reverse holo,,Confirmed,,0,
,Chill Teaser Toy,166/191,Regular,,Confirmed,,0,
,Chill Teaser Toy,166/191,Reverse holo,,Confirmed,,0,
,Clemont's Quick Wit,167/191,Regular,,Confirmed,,0,
,Clemont's Quick Wit,167/191,Reverse holo,,Confirmed,,0,
,Colbur Berry,168/191,Regular,,Confirmed,,0,
,Colbur Berry,168/191,Reverse holo,,Confirmed,,0,
,Counter Gain,169/191,Regular,,Confirmed,,0,
,Counter Gain,169/191,Reverse holo,,Confirmed,,0,
,Cyrano,170/191,Regular,,Confirmed,,0,
,Cyrano,170/191,Reverse holo,,Confirmed,,0,
,Deduction Kit,171/191,Regular,,Confirmed,,0,
,Deduction Kit,171/191,Reverse holo,,Confirmed,,0,
,Dragon Elixir,172/191,Regular,,Confirmed,,0,
,Dragon Elixir,172/191,Reverse holo,,Confirmed,,0,
,Drasna,173/191,Regular,,Confirmed,,0,
,Drasna,173/191,Reverse holo,,Confirmed,,0,
,Drayton,174/191,Regular,,Confirmed,,0,
,Drayton,174/191,Reverse holo,,Confirmed,,0,
,Dusk Ball,175/191,Regular,,Confirmed,,0,
,Dusk Ball,175/191,Reverse holo,,Confirmed,,0,
,Energy Search Pro,176/191,Regular,ACE SPEC — no reverse holo,Confirmed,,0,
,Gravity Mountain,177/191,Regular,,Confirmed,,0,
,Gravity Mountain,177/191,Reverse holo,,Confirmed,,0,
,Jasmine's Gaze,178/191,Regular,,Confirmed,,0,
,Jasmine's Gaze,178/191,Reverse holo,,Confirmed,,0,
,Lisia's Appeal,179/191,Regular,,Confirmed,,0,
,Lisia's Appeal,179/191,Reverse holo,,Confirmed,,0,
,Lively Stadium,180/191,Regular,,Confirmed,,0,
